,blurb,href,id,numrate,price,seller,stars
0,"Christmas Lights Bokeh Photo Overlays, Bokeh lights Effect Photo Overlays, Gold, Photoshop, Overlays, Christmas lights",https://www.etsy.com/listing/560564887/christmas-lights-bokeh-photo-overlays?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-1&pro=1,560564887,1096,14.00,KDOverlays,4.7544
1,Dog illustration. Custom pet art. Cat portrait. Christmas gifts for boyfriend. Bridesmaid gift. Birthday gift for her. Draw me please.,https://www.etsy.com/listing/474661120/dog-illustration-custom-pet-art-cat?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-2&frs=1,474661120,365,30.00,DrawmepleaseShop,5
2,50% OFF SALE Morning & Bedtime Routine Chart - Cards - Printable - Toddler - Kids - Picture,https://www.etsy.com/listing/274035798/50-off-sale-morning-bedtime-routine?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-3,274035798,1294,4.00,BusyKiddoPrintables,4.8661
3,"Printable Boy Room Decorations, Boy Room Decor, Dinosaur Decor, Dinosaur Wall Art, Boy Nursery Decor, Dinosaur Wall Decor, Boy Nursery Art",https://www.etsy.com/listing/556411767/printable-boy-room-decorations-boy-room?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-4,556411767,150,12.95,PrintablesbyOakHouse,5
4,Hosanna 8.5X11 or 8X10 digital download by Aimee Ferre,https://www.etsy.com/listing/287190713/hosanna-85x11-or-8x10-digital-download?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-5,287190713,872,3.50,SugarDoodleShop,5
5,DIVINA Tarot Deck,https://www.etsy.com/listing/499086225/divina-tarot-deck?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-6,499086225,576,45.00,SPIRITSPEAKTAROT,4.9752
6,IRIS APFEL Drawing Print / Portrait/ mixed media / advanced style / Groovy Granny / fashion icon /  sizes a4-a3,https://www.etsy.com/listing/259253482/iris-apfel-drawing-print-portrait-mixed?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-7&sca=1,259253482,182,34.65,KirstyMcKenzie,4.9808
7,"Cozy Christmas Digital Papers, Christmas Patterns, Christmas Paper, Holiday Paper, Scrapbook Paper",https://www.etsy.com/listing/213554667/cozy-christmas-digital-papers-christmas?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-8&bes=1,213554667,6742,0.99,HuckleberryHearts,4.9835
8,"Caduceus Symbol, Medical Art, Medicine, Rod of Asclepius Poster, Doctor Office Art, Doctor Symbol Art Print, Dr. Symbol",https://www.etsy.com/listing/288361441/caduceus-symbol-medical-art-medicine-rod?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-9&pro=1,288361441,1498,6.79,NotMuchToSay,4.9367
9,"Love birds art, Pen and ink art, Bird illustration, Love birds painting, Colorful",https://www.etsy.com/listing/116760695/love-birds-art-pen-and-ink-art-bird?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-10&pro=1&frs=1,116760695,441,22.95,lizkapiloto,4.9722
